datetime,machineID,errorID
2015-01-03T07:00:00.000000,1,error1
2015-01-03T20:00:00.000000,1,error3
2015-01-04T06:00:00.000000,1,error5
2015-01-10T15:00:00.000000,1,error4
2015-01-22T10:00:00.000000,1,error4
2015-01-25T15:00:00.000000,1,error4
2015-01-27T04:00:00.000000,1,error1
2015-03-03T22:00:00.000000,1,error2
2015-03-05T06:00:00.000000,1,error1
2015-03-20T18:00:00.000000,1,error1
2015-03-26T01:00:00.000000,1,error2
2015-03-31T23:00:00.000000,1,error1
2015-04-19T06:00:00.000000,1,error2
2015-04-19T06:00:00.000000,1,error3
2015-04-29T19:00:00.000000,1,error4
2015-05-04T23:00:00.000000,1,error2
2015-05-12T09:00:00.000000,1,error1
2015-05-21T07:00:00.000000,1,error4
2015-05-24T02:00:00.000000,1,error3
2015-05-25T05:00:00.000000,1,error1
2015-06-09T06:00:00.000000,1,error3
2015-06-18T06:00:00.000000,1,error5
2015-06-23T10:00:00.000000,1,error3
2015-08-23T19:00:00.000000,1,error1
2015-08-30T01:00:00.000000,1,error3
2015-09-01T06:00:00.000000,1,error5
2015-09-13T17:00:00.000000,1,error2
2015-09-15T06:00:00.000000,1,error1
2015-10-01T23:00:00.000000,1,error1
2015-10-15T05:00:00.000000,1,error1
2015-10-16T03:00:00.000000,1,error3
2015-10-16T06:00:00.000000,1,error2
2015-10-16T06:00:00.000000,1,error3
2015-11-10T04:00:00.000000,1,error3
2015-12-15T06:00:00.000000,1,error5
2015-01-12T14:00:00.000000,2,error4
2015-02-06T10:00:00.000000,2,error4
2015-02-11T11:00:00.000000,2,error1
2015-03-11T22:00:00.000000,2,error2
2015-03-18T06:00:00.000000,2,error1
2015-03-18T06:00:00.000000,2,error2
2015-03-18T06:00:00.000000,2,error3
2015-03-26T03:00:00.000000,2,error2
2015-03-27T17:00:00.000000,2,error3
2015-04-17T06:00:00.000000,2,error2
2015-04-17T06:00:00.000000,2,error3
2015-05-07T08:00:00.000000,2,error2
2015-05-13T10:00:00.000000,2,error1
2015-05-30T20:00:00.000000,2,error5
2015-06-18T14:00:00.000000,2,error5
2015-07-18T06:00:00.000000,2,error4
2015-07-20T10:00:00.000000,2,error2
2015-07-23T02:00:00.000000,2,error1
2015-08-03T10:00:00.000000,2,error1
2015-08-18T22:00:00.000000,2,error5
2015-08-23T10:00:00.000000,2,error2
2015-08-28T08:00:00.000000,2,error2
2015-09-16T13:00:00.000000,2,error4
2015-09-19T21:00:00.000000,2,error4
2015-09-23T19:00:00.000000,2,error2
2015-11-08T21:00:00.000000,2,error3
2015-12-28T06:00:00.000000,2,error2
2015-12-28T06:00:00.000000,2,error3
2015-01-06T06:00:00.000000,3,error2
2015-01-06T06:00:00.000000,3,error3
2015-01-08T02:00:00.000000,3,error1
2015-01-11T05:00:00.000000,3,error1
2015-01-11T19:00:00.000000,3,error3
2015-01-28T17:00:00.000000,3,error4
2015-02-05T06:00:00.000000,3,error1
2015-02-23T06:00:00.000000,3,error4
2015-03-02T11:00:00.000000,3,error4
2015-03-21T16:00:00.000000,3,error3
2015-04-06T16:00:00.000000,3,error2
2015-04-09T09:00:00.000000,3,error3
2015-04-26T19:00:00.000000,3,error2
2015-05-06T19:00:00.000000,3,error4
2015-05-24T15:00:00.000000,3,error2
2015-06-10T21:00:00.000000,3,error4
2015-06-27T07:00:00.000000,3,error1
2015-07-09T21:00:00.000000,3,error4
2015-07-18T19:00:00.000000,3,error1
2015-07-20T06:00:00.000000,3,error2
2015-07-20T06:00:00.000000,3,error3
2015-07-25T23:00:00.000000,3,error4
2015-07-29T17:00:00.000000,3,error1
2015-08-02T15:00:00.000000,3,error1
2015-08-07T04:00:00.000000,3,error2
2015-09-08T04:00:00.000000,3,error1
2015-09-13T11:00:00.000000,3,error1
2015-09-18T10:00:00.000000,3,error2
2015-10-01T02:00:00.000000,3,error5
2015-10-03T06:00:00.000000,3,error2
2015-10-03T06:00:00.000000,3,error3
2015-10-23T14:00:00.000000,3,error3
2015-10-31T23:00:00.000000,3,error2
2015-11-07T15:00:00.000000,3,error4
2015-11-20T23:00:00.000000,3,error1
2015-12-02T06:00:00.000000,3,error2
2015-12-02T06:00:00.000000,3,error3
2015-12-19T22:00:00.000000,3,error5
2015-12-25T12:00:00.000000,3,error1
2015-01-04T03:00:00.000000,4,error3
2015-01-06T01:00:00.000000,4,error1
2015-01-11T14:00:00.000000,4,error3
2015-01-13T18:00:00.000000,4,error2
2015-01-14T21:00:00.000000,4,error1
2015-01-16T06:00:00.000000,4,error2
2015-01-16T06:00:00.000000,4,error3
2015-02-12T15:00:00.000000,4,error2
2015-02-15T06:00:00.000000,4,error1
2015-02-27T09:00:00.000000,4,error1
2015-03-19T05:00:00.000000,4,error2
2015-03-22T22:00:00.000000,4,error1
2015-04-01T06:00:00.000000,4,error2
2015-04-01T06:00:00.000000,4,error3
2015-04-06T14:00:00.000000,4,error1
2015-05-03T17:00:00.000000,4,error2
2015-06-23T08:00:00.000000,4,error2
2015-07-15T06:00:00.000000,4,error2
2015-07-15T06:00:00.000000,4,error3
2015-07-24T05:00:00.000000,4,error2
2015-07-27T17:00:00.000000,4,error4
2015-08-10T06:00:00.000000,4,error4
2015-08-29T06:00:00.000000,4,error1
2015-09-05T06:00:00.000000,4,error2
2015-10-10T07:00:00.000000,4,error1
2015-10-13T06:00:00.000000,4,error2
2015-10-13T06:00:00.000000,4,error3
2015-10-17T20:00:00.000000,4,error1
2015-10-28T16:00:00.000000,4,error3
2015-11-12T16:00:00.000000,4,error3
2015-12-04T06:00:00.000000,4,error1
2015-01-08T06:00:00.000000,5,error2
2015-01-08T06:00:00.000000,5,error3
2015-01-31T19:00:00.000000,5,error1
2015-02-22T06:00:00.000000,5,error1
2015-02-24T14:00:00.000000,5,error3
2015-03-09T10:00:00.000000,5,error2
2015-03-18T22:00:00.000000,5,error1
2015-03-21T15:00:00.000000,5,error4
2015-03-21T16:00:00.000000,5,error2
2015-04-06T02:00:00.000000,5,error5
2015-04-08T06:00:00.000000,5,error1
2015-05-08T15:00:00.000000,5,error1
2015-05-17T00:00:00.000000,5,error1
2015-06-01T22:00:00.000000,5,error1
2015-06-05T01:00:00.000000,5,error4
2015-06-12T18:00:00.000000,5,error3
2015-06-22T06:00:00.000000,5,error2
2015-06-22T06:00:00.000000,5,error3
2015-06-23T12:00:00.000000,5,error3
2015-07-12T22:00:00.000000,5,error1
2015-07-16T04:00:00.000000,5,error3
2015-07-26T08:00:00.000000,5,error1
2015-07-29T09:00:00.000000,5,error4
2015-08-11T02:00:00.000000,5,error4
2015-08-19T12:00:00.000000,5,error2
2015-08-30T03:00:00.000000,5,error2
2015-09-05T06:00:00.000000,5,error1
2015-09-06T06:00:00.000000,5,error5
2015-09-27T20:00:00.000000,5,error1
2015-10-05T06:00:00.000000,5,error2
2015-10-05T06:00:00.000000,5,error3
2015-11-19T06:00:00.000000,5,error1
2015-12-04T02:00:00.000000,5,error1
2015-12-04T18:00:00.000000,5,error5
2015-12-15T16:00:00.000000,5,error1
2015-12-20T05:00:00.000000,5,error4
2015-12-21T09:00:00.000000,5,error4
2015-12-30T09:00:00.000000,5,error2
2015-01-14T12:00:00.000000,6,error2
2015-01-26T12:00:00.000000,6,error1
2015-02-03T22:00:00.000000,6,error2
2015-03-29T20:00:00.000000,6,error4
2015-04-05T21:00:00.000000,6,error1
2015-04-23T16:00:00.000000,6,error3
2015-04-25T16:00:00.000000,6,error1
2015-05-01T22:00:00.000000,6,error2
2015-05-24T08:00:00.000000,6,error5
2015-06-01T01:00:00.000000,6,error2
2015-06-03T07:00:00.000000,6,error2
2015-08-11T04:00:00.000000,6,error2
2015-08-20T06:00:00.000000,6,error4
2015-09-14T10:00:00.000000,6,error2
2015-09-18T20:00:00.000000,6,error1
2015-09-26T08:00:00.000000,6,error2
2015-10-05T21:00:00.000000,6,error1
2015-10-15T16:00:00.000000,6,error3
2015-10-21T22:00:00.000000,6,error1
2015-10-23T19:00:00.000000,6,error2
2015-11-13T03:00:00.000000,6,error1
2015-12-07T06:00:00.000000,6,error4
2015-12-10T22:00:00.000000,6,error3
2015-01-17T20:00:00.000000,7,error1
2015-01-21T07:00:00.000000,7,error3
2015-01-23T06:00:00.000000,7,error2
2015-01-23T06:00:00.000000,7,error3
2015-01-23T06:00:00.000000,7,error5
2015-02-07T06:00:00.000000,7,error1
2015-03-09T18:00:00.000000,7,error4
2015-03-10T22:00:00.000000,7,error2
2015-03-21T05:00:00.000000,7,error3
2015-03-27T22:00:00.000000,7,error2
2015-04-12T08:00:00.000000,7,error1
2015-04-23T06:00:00.000000,7,error1
2015-04-23T09:00:00.000000,7,error4
2015-05-08T06:00:00.000000,7,error5
2015-05-13T11:00:00.000000,7,error2
2015-05-23T06:00:00.000000,7,error2
