machineID,date,mean_daily_voltage,mean_daily_rotation,mean_daily_pressure,mean_daily_vibration,error1,error2,error3,error4,error5,comp1,comp2,comp3,comp4,comp1_failure,comp2_failure,comp3_failure,comp4_failure
1,2015-01-01,167.57653306422822,440.515328110061,98.52234494954433,40.049622600968995,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-02,169.79575805694637,446.83266642987564,98.45460816641986,39.271645279141914,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-03,171.86224445103073,459.20474169740015,97.99823290200322,48.07409147492093,1,0,1,0,0,0,0,0,0,0,0,0,0
1,2015-01-04,174.79242790764866,448.743200553577,101.45226610981975,52.19026764133094,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2015-01-05,171.01840767589718,454.8227498192162,102.36311401901246,43.33031132182856,0,0,0,0,0,1,0,0,1,0,0,0,1
1,2015-01-06,171.02503280606336,454.6143475333709,102.37766530242241,41.506929900872194,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-07,174.1394097946129,444.3377719206731,96.67484166557482,41.70277085868634,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-08,172.1359307247777,446.12678128535714,102.09703926386702,39.281983215317126,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-09,169.35005238320576,466.8840900748344,100.12825955745564,38.57148227041773,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-10,171.00624605040676,455.6955510642406,99.68023128818656,39.78939010426551,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2015-01-11,167.40561011576014,433.87179268010914,97.45383748115695,41.29073659445749,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-12,169.2340454533664,445.8743330676204,96.65055694155258,39.43796448742801,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-13,170.5734584615495,451.97878284008476,102.76207169884596,40.140003830339786,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-14,167.98109238540403,459.66833253896124,100.77266476716049,40.48599747441319,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-15,171.3076276186864,471.330449730818,101.68303071263979,40.00075222462147,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-16,186.44278418597037,438.53811328936473,102.26136298713568,40.49846262640515,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-17,193.13640544949655,455.4120489900233,99.23309955274794,40.985993604298926,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-18,171.64219887443176,452.9650712234142,97.39032115522768,39.433123983494426,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-19,170.44300438418827,462.0818697817765,99.15957922626258,37.7630995403064,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-20,164.98654074978052,454.43929977483805,100.35035020335454,40.34014220836486,0,0,0,0,0,1,0,1,0,0,0,0,0
1,2015-01-21,167.31688279927445,460.4097984231944,98.4134939620392,40.4222769106949,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-22,170.16715372875112,469.9686385232212,99.33104837851668,39.04039302151187,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2015-01-23,169.0361435123587,455.4960260431749,101.86515038416582,39.22804517306911,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-24,165.3717024043298,447.9883073633559,101.06605231739809,41.624926121335704,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-25,166.92125454553576,436.67422959233585,96.95227384148991,40.546027564858726,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2015-01-26,179.22323269079456,456.99871388659705,101.54534393918725,40.32847707306151,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-27,192.3136272195487,454.42916102927137,95.09687035529954,39.00765656467459,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-28,183.2953350489993,454.37635650262433,100.71984985506556,37.38191575485544,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-29,169.13013390277504,440.1638738764048,103.7266322675074,39.29753825915946,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-30,168.07263869925023,459.29974513569863,96.48340197823069,40.03246776476235,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-01-31,173.16066065457008,443.4104690388924,96.98890259055393,40.31958201748506,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-02-01,164.94774372555963,443.7210084541541,100.8626319752665,39.78189658476425,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-02-02,170.53101378876184,425.3134188059546,100.95733371040104,39.33083007312976,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-02-03,170.8143591220435,450.34249788430833,100.96398170479385,40.368654961529316,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2015-02-04,167.31183636386024,438.31340777593795,99.83558681072334,40.54731517719779,0,0,0,0,0,0,0,1,1,0,0,0,0
1,2015-02-05,167.50430605010763,439.1916247159557,99.57264210779802,39.9937817958426,0,0,0,0,0,0,0,0,0,0,0,0,0
